Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.5005678789812315,0.027923131326779788,0.541893666754164,0.0359542420467445,31.559589368275304,0.8548270438083714
2,1.0000720685943747,0.018449353861423903,2.1419690440409758e-12,7.204610968584134e-05,33.506339057394065,0.8982092457509482
3,1.0000004951823342,0.016740253956462406,3.729035807002243e-15,8.615110749197183e-14,34.07439911553675,0.9049055209200548
4,1.0000000002748342,0.01609739583637834,3.5955356118556546e-10,1.595770355514661e-11,34.210082705720836,0.9080149932402805
5,1.0,0.015625093710509474,0.0,0.0,34.42013795726276,0.9106283945006293
6,1.0,0.01544681967109286,0.0,0.0,34.41468446848785,0.9121734636436994
7,1.0,0.015200585620518054,3.991369702652506e-41,1.7758139340567828e-41,34.237245007460174,0.9105650872882366
8,1.0,0.015101014271644226,2.510825402031795e-24,5.923465838760846e-25,34.38378040468501,0.9131930780783826
9,1.0,0.014839926036276051,1.28057757213354e-29,1.0771538137152289e-29,34.48596579309019,0.9140908114855862
10,1.0,0.014882790209371222,0.0,1.9451403791672262e-42,34.36008003703534,0.9137598760691001
11,1.0,0.014778631688558606,1.3545249364175533e-34,2.5040907945827927e-36,34.56515634193987,0.9141760897924687
12,1.0,0.014688239412741892,0.0,0.0,34.26657572518843,0.9140871024318304
