Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,3.222713088147775e-18,0.008413260526256636,1.0,3.2227116965901168e-18,40.05195725083282,0.9214322891235351
2,1.0188632992002519e-18,0.008420623963698744,1.0,1.0188681393957231e-18,40.04512267873308,0.9205827283518655
3,4.293965174207246e-15,0.008421364857981513,1.0,4.284113397403435e-15,40.042561138494435,0.9205993577071598
4,4.5687746764966546e-17,0.008423547232323992,1.0,4.5687806299061315e-17,40.03214576347127,0.9207137357507433
5,5.3510631882219695e-17,0.008406304326340822,1.0,5.3510247209252554e-17,40.04589911353403,0.92101398062706
6,1.3538441084672497e-16,0.008423753182869404,1.0,1.3537343533873253e-16,40.02218176330614,0.9206541899612972
7,3.784872536518298e-15,0.008417678567747186,1.0,3.771617762255716e-15,40.060931618167274,0.9212721057959965
8,3.688845607858651e-19,0.008416241101721036,1.0,3.688845607854053e-19,39.83631351820451,0.9201242020811353
9,1.6701233991291986e-18,0.008416326958952206,1.0,1.6701293283257497e-18,39.997150280060495,0.9204486079216003
10,3.384211783406915e-18,0.008418070336537702,1.0,3.3842063382027324e-18,40.03171759750905,0.9204804599625723
11,7.17691876195173e-18,0.008413060990128932,1.0,7.176883262129377e-18,39.527641204586764,0.9193490881919861
12,2.24098654560378e-17,0.008406960929378069,1.0,2.240966251593645e-17,40.043704172652006,0.9210729989324298
13,3.030181570354635e-16,0.008408461025350594,1.0,3.029989318068144e-16,40.04169127354379,0.9207452607154846
14,1.4854392657510593e-16,0.008404096265855645,1.0,1.4853385892277362e-16,40.045147862580414,0.9206202694007328
15,3.173245783287489e-12,0.008407457845019443,1.0,4.4649057642998503e-13,39.11240212378476,0.9195165180819376
16,1.9368239504929102e-17,0.008403179838721242,1.0,1.9368214335973192e-17,40.037247666762056,0.9215530433654785
17,3.768031716137725e-15,0.008414795676911516,1.0,3.7477153727445506e-15,40.031402655974134,0.9203127564362117
18,7.947601654395377e-17,0.008419009786697903,1.0,7.947318249131888e-17,40.01129180830034,0.9209545358589717
19,1.7450564579171745e-15,0.008412795521817836,1.0,1.7323322302379819e-15,39.988247133526926,0.9209512168679919
20,3.4388274999956655e-16,0.008414401852858387,1.0,3.430267347704688e-16,40.02654469595156,0.9206182464531489
